date,KORFBEV,KORWHLS,KORMCMP,KORELEC,KORCNST,KORMACH,KOROCOINF,KOEMPTOTO,KOHWRWEMP,KOWRCDURE,KOCONPRCF,KOEQUIPTE,KOWRCCNSE,KOIMPCONA
1985-04-05,0.03804698,0.1,0.040352,0.0,0.036195735,0.1,,,,,,,,
1985-04-12,0.021321638,0.1,0.019863872,0.0,0.054360372,0.1,,,,,,,,
1985-04-19,0.0185,0.0,-0.000685,0.0,0.0486,0.0,,,,,,,,
1985-04-26,0.013792952,0.0,-0.003235151,0.0,0.051952989,0.0,,,,,,,,
1985-04-30,,,,,,,1.333353087,-0.038673396,-0.333087613,,0.102371618,,,
1985-05-03,-0.008696978,0.0,-0.03638006,-0.1,0.01829194,-0.1,,,,,,,,
1985-05-10,-0.000414,0.0,-0.040043546,-0.1,-0.020878098,0.0,,,,,,,,
1985-05-17,0.047003709,0.0,-0.029174405,-0.1,-0.043227674,0.0,,,,,,,,
1985-05-24,0.046708619,0.0,-0.009635842,-0.1,-0.02833843,0.1,,,,,,,,
1985-05-31,0.065830043,0.0,0.011759528,0.0,-0.028519125,0.1,0.660068403,0.718982033,0.061564552,,0.713681874,,,
1985-06-07,0.074782867,0.0,0.018596506,0.0,-0.026759775,0.1,,,,,,,,
1985-06-14,0.054859404,0.0,0.070204552,0.1,0.032672063,0.1,,,,,,,,
1985-06-21,0.022397042,0.0,0.048129178,0.0,0.015040563,0.1,,,,,,,,
1985-06-28,0.0106,0.0,0.026784923,0.0,0.00024,0.0,,,,,,,,
1985-06-30,,,,,,,0.655740055,-0.14658841,0.396932624,,0.101540032,,,
1985-07-05,-0.006437871,0.0,-0.001314985,-0.1,-0.02042487,0.0,,,,,,,,
1985-07-12,-0.023603454,0.0,-0.01732401,-0.1,-0.034827808,0.0,,,,,,,,
1985-07-19,-0.019204137,-0.1,-0.036399959,-0.1,-0.043218957,-0.1,,,,,,,,
1985-07-26,-0.029718646,0.0,-0.013608834,0.0,-0.03168593,0.0,,,,,,,,
1985-07-31,,,,,,,0.651468102,-0.096798024,-0.600744155,,0.0,,,
1985-08-02,-0.026605965,0.0,0.019753416,0.0,-0.009505828,0.0,,,,,,,,
1985-08-09,-0.034401062,0.0,0.007895008,0.0,-0.012224194,0.0,,,,,,,,
1985-08-16,-0.040628037,0.0,-0.00555015,0.0,-0.020668291,0.0,,,,,,,,
1985-08-23,-0.0224,0.0,-0.000956,0.0,0.033,0.0,,,,,,,,
1985-08-30,-0.017535737,0.0,-0.018657118,-0.1,0.066586202,0.0,,,,,,,,
1985-08-31,,,,,,,0.647251451,0.063674119,-0.33358439,,0.169004603,,,
1985-09-06,-0.025750152,0.0,-0.02667957,0.0,0.038545108,0.0,,,,,,,,
1985-09-13,-0.014127097,0.0,-0.00691068,0.0,0.067288409,0.0,,,,,,,,
1985-09-20,-0.010514124,0.0,-0.001874116,0.0,0.047415032,0.0,,,,,,,,
1985-09-27,-0.013399084,0.0,0.004711835,0.0,0.032768687,0.0,,,,,,,,
1985-09-30,,,,,,,0.0,0.850125934,-0.359915879,,1.108323688,,,
1985-10-04,-0.007082345,0.0,0.024916034,0.0,0.079520164,0.0,,,,,,,,
1985-10-11,0.000985,0.0,0.013700645,0.0,0.072274503,0.0,,,,,,,,
1985-10-18,-0.005406005,0.0,0.016425639,0.0,0.095024561,0.0,,,,,,,,
1985-10-25,-0.008575595,0.0,0.030330819,0.1,0.084005297,0.0,,,,,,,,
1985-10-31,,,,,,,0.643089033,0.803680233,0.937585141,,0.3001503,,,
1985-11-01,-0.031285744,0.0,0.007415713,0.1,0.036912505,0.0,,,,,,,,
1985-11-08,-0.043206569,0.0,0.019885964,0.1,0.007683044,0.0,,,,,,,,
1985-11-15,-0.024310117,0.0,0.069752051,0.2,0.017032004,0.0,,,,,,,,
1985-11-22,-0.039330869,0.0,0.069046078,0.1,-0.024989958,0.0,,,,,,,,
1985-11-29,-0.026166219,0.0,0.088536374,0.1,-0.043249024,0.1,,,,,,,,
1985-11-30,,,,,,,1.273902578,0.277384317,-0.818254987,,-1.206044769,,,
1985-12-06,0.006340913,0.1,0.137308174,0.1,-0.057150644,0.1,,,,,,,,
1985-12-13,0.019814636,0.1,0.163622394,0.2,-0.064819355,0.1,,,,,,,,
1985-12-20,0.008867192,0.1,0.094949136,0.0,-0.00226761,0.1,,,,,,,,
1985-12-27,0.040722986,0.1,0.139067736,0.1,0.033972133,0.1,,,,,,,,
1985-12-31,,,,,,,1.257878221,-1.18449948,1.029415116,,0.604840554,,,
1986-01-03,0.033581287,0.1,0.103229937,0.1,0.057581315,0.1,,,,,,,,
1986-01-10,0.052436657,0.0,0.074592671,0.1,0.007341686,0.1,,,,,,,,
1986-01-17,0.055108108,0.0,0.044701056,0.1,-0.028136792,0.0,,,,,,,,
